,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
33,5.18,5.14,4.46,7.62,8.0,7.08,4.17,7.67,8.46,2.14,1.66,1.28,0.8,8.82,4.68,6.38,5.15,8.63,6.61,2.71,6.71,7.27,10.32,6.57,5.35,5.33,7.36,1.65,0.86,6.3,5.73,5.35,0.0,2.09,6.28,5.73,3.94,2.46,6.48,7.22,4.57,8.16,6.94,6.76,9.69,8.21,8.22,2.46,3.32,2.13,2.3,5.3,4.56,9.31,9.93,6.82,8.96,10.2,1.21,11.2
34,3.74,6.46,3.6,5.8,8.86,7.48,2.49,8.53,9.33,3.5,1.58,1.41,2.38,8.75,3.94,5.5,3.32,6.81,4.78,4.38,7.57,7.68,10.23,4.74,3.74,6.65,8.23,2.52,2.02,4.71,6.57,6.19,2.44,0.0,4.45,4.06,2.28,2.22,7.34,7.62,5.44,9.48,8.26,6.69,9.52,7.9,7.04,0.78,4.64,4.11,3.16,4.47,4.08,9.78,10.76,5.21,7.14,10.6,1.67,11.13
35,6.51,10.04,5.6,3.26,8.26,6.82,3.65,9.48,10.22,7.07,5.82,5.38,6.43,10.26,6.7,6.79,2.58,4.26,1.64,7.96,8.55,8.12,6.8,0.66,5.07,9.77,9.18,6.57,6.26,6.0,7.02,6.64,6.41,5.2,0.0,2.82,5.18,5.05,8.72,7.15,8.56,13.06,11.83,8.22,10.95,9.34,4.87,4.92,8.21,8.08,6.74,5.5,6.07,7.4,8.38,4.02,3.72,7.46,5.9,12.65
36,3.69,10.35,7.66,5.57,9.92,9.13,2.34,11.85,12.59,7.39,4.82,5.46,6.27,7.43,3.88,3.97,2.27,6.57,3.03,8.28,10.38,10.13,8.46,2.97,2.25,10.54,11.54,6.41,5.94,3.18,9.39,9.01,6.38,5.03,2.67,0.0,2.36,6.27,11.09,8.8,9.33,13.37,12.15,5.39,8.13,6.52,7.18,3.61,8.53,8.05,7.06,7.86,8.13,9.05,10.04,1.2,5.07,9.11,5.32,9.83
37,1.46,8.23,5.6,7.8,10.64,9.47,1.92,10.31,11.1,5.27,2.7,3.36,4.16,6.59,1.66,3.27,3.23,8.81,5.49,6.16,9.35,9.67,10.92,5.43,1.51,8.42,10.0,4.29,3.84,2.48,8.37,7.99,4.26,2.92,5.14,2.46,0.0,4.22,9.12,9.62,7.21,11.26,10.03,4.64,7.29,5.67,9.03,1.5,6.41,5.93,4.94,6.47,6.08,11.51,12.5,2.97,7.53,11.57,3.21,9.13
38,5.68,5.12,3.22,5.66,7.52,6.43,4.43,7.2,7.81,2.16,3.51,1.75,2.18,10.69,5.88,7.43,4.98,6.67,6.44,3.05,6.24,6.62,9.84,4.78,5.68,5.14,6.89,2.22,3.42,6.65,5.08,4.7,3.03,2.64,5.01,5.99,4.22,0.0,5.83,6.57,3.92,8.14,6.92,8.63,11.45,9.84,6.89,2.71,3.3,3.18,1.83,4.08,3.7,8.73,9.46,7.14,8.73,9.55,3.6,13.06
39,11.09,7.23,4.03,7.32,5.73,4.62,9.85,3.4,2.25,6.56,8.93,8.26,7.28,16.1,11.29,12.85,9.31,6.56,10.07,7.08,4.36,4.82,8.04,8.43,11.09,3.76,3.0,7.31,8.58,12.06,2.41,2.52,8.13,8.05,8.67,10.64,9.63,7.26,0.0,4.76,2.63,10.25,9.02,14.04,16.8,15.25,5.76,8.13,5.46,7.69,6.21,5.14,3.55,6.92,7.66,11.84,12.15,7.74,8.92,17.11
40,11.27,8.93,4.2,5.24,3.12,2.18,9.38,4.25,5.75,7.02,9.1,8.65,8.18,15.99,11.46,12.52,8.31,4.15,7.5,7.94,1.58,1.33,4.15,6.31,10.8,8.04,3.94,8.21,9.47,11.73,2.89,2.6,9.02,8.22,6.95,8.55,9.8,7.54,4.69,0.0,6.83,11.95,10.72,13.94,16.68,15.07,3.9,8.3,7.16,8.44,7.1,4.95,3.72,3.04,4.03,9.75,9.58,3.46,9.19,17.52
41,10.83,6.22,4.51,9.51,7.92,6.82,9.58,5.6,4.44,5.69,8.51,7.24,6.41,15.66,11.03,12.58,10.14,8.75,11.17,6.59,6.56,7.01,10.24,9.3,10.83,2.66,5.2,6.44,7.71,11.8,4.61,4.72,7.26,7.79,9.54,11.14,9.37,6.24,2.46,6.96,0.0,9.25,8.02,13.6,16.3,14.99,7.96,7.86,5.16,7.11,5.34,5.35,4.64,9.12,9.86,12.3,13.26,9.94,8.05,16.62
42,13.46,4.9,9.94,13.92,13.13,12.52,12.45,12.72,11.95,6.42,10.04,8.99,8.0,15.62,13.06,14.03,13.09,14.46,14.55,6.94,11.84,12.47,15.45,13.04,13.62,6.87,12.42,8.17,9.25,13.94,10.27,10.38,8.3,10.36,13.28,14.01,12.22,8.31,10.45,12.67,8.7,0.0,1.88,14.5,15.88,15.35,13.67,10.73,5.51,7.55,7.17,10.78,10.04,14.44,15.07,15.09,16.9,15.64,9.59,16.5
43,12.16,4.22,8.65,12.63,11.84,11.23,11.16,11.43,10.66,5.13,8.75,7.7,6.71,15.91,11.77,13.47,11.8,13.17,13.26,5.64,10.55,11.18,14.16,11.75,12.33,5.58,11.13,6.88,7.95,13.3,8.98,9.09,7.0,9.07,11.99,12.72,10.93,7.02,9.16,11.38,7.41,1.84,0.0,13.85,15.36,15.3,12.38,9.44,4.22,6.26,5.88,9.49,8.75,13.15,13.78,13.8,15.61,14.35,8.3,15.67
44,4.75,10.95,9.81,10.92,13.35,12.43,6.03,13.02,13.81,7.98,5.63,6.75,6.87,2.47,4.59,1.37,7.34,11.91,8.37,8.87,12.06,12.62,13.8,8.31,3.28,11.13,12.72,7.0,6.59,2.58,11.08,10.7,6.97,6.97,8.02,5.34,4.56,7.81,11.83,12.57,9.92,13.97,12.74,0.0,3.59,1.97,12.52,6.06,9.12,8.64,7.65,10.65,9.91,14.39,15.28,5.85,10.41,14.46,5.91,6.2
45,7.68,13.6,12.79,13.84,16.33,15.41,8.9,16.0,16.79,10.96,8.61,9.73,9.85,1.86,7.57,4.31,10.2,14.84,11.3,11.85,15.04,15.6,16.73,11.24,6.17,13.79,15.7,9.99,9.57,5.51,14.06,13.68,9.95,9.95,10.94,8.27,7.42,10.79,14.81,15.55,12.9,15.76,15.4,3.7,0.0,1.67,15.45,8.92,11.78,11.62,10.63,13.63,12.89,17.32,18.26,8.78,13.34,17.38,8.89,2.63
46,6.38,12.62,11.35,12.17,15.02,14.1,7.23,14.69,15.48,9.65,7.3,8.42,8.54,1.03,6.26,3.04,8.54,13.17,9.63,10.54,13.73,14.3,15.06,9.57,4.5,12.8,14.39,8.68,8.26,4.21,12.75,12.37,8.64,8.64,9.28,6.6,5.75,9.48,13.5,14.24,11.59,15.42,14.41,2.08,1.62,0.0,13.78,7.25,10.8,10.31,9.32,12.22,11.58,15.65,16.64,7.11,11.67,15.71,7.58,4.24
