Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,sin_day_of_week,cos_day_of_week,sin_month,cos_month
2024-12-25,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,3.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,0.0,-7.0,1.0,-1.0,0.0,-2.0,-2.0,0.0,-2.0,-1.0,1.0,-2.0,-2.0,-1.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,-2.0,0.0,-1.0,2.0,0.0,0.0,3.0,1.0,2.0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0
2024-12-26,-2.0,1.0,-1.0,1.0,1.0,-2.0,-3.0,-3.0,0.0,0.0,-1.0,-2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,-2.0,-3.0,-1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,-2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,2.0,-4.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0
2024-12-27,0.0,2.0,0.0,3.0,-2.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-2.0,-1.0,1.0,-1.0,-3.0,-1.0,0.0,0.0,-1.0,5.0,0.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-4.0,3.0,1.0,1.0,-4.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,-3.0,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0
2024-12-28,0.0,-1.0,2.0,1.0,2.0,3.0,-2.0,-2.0,0.0,2.0,-1.0,0.0,-4.0,1.0,5.0,-2.0,3.0,-8.0,1.0,-5.0,-2.0,0.0,0.0,-3.0,0.0,6.0,-4.0,7.0,0.0,2.0,-1.0,0.0,-6.0,-3.0,5.0,4.0,-2.0,-5.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-2.0,6.0,4.0,-1.0,-1.0,0.0,2.0,-3.0,1.0,-4.0,2.0,0.0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2024-12-29,0.0,1.0,0.0,-3.0,2.0,0.0,1.0,-2.0,0.0,1.0,-2.0,4.0,1.0,0.0,0.0,0.0,-5.0,4.0,1.0,2.0,0.0,-1.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,-1.0,-4.0,1.0,-3.0,0.0,0.0,3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-30,5.0,2.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,-2.0,3.0,1.0,7.0,2.0,-2.0,-3.0,2.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,-4.0,-1.0,-2.0,-1.0,0.0,-2.0,1.0,-1.0,0.0,-6.0,-1.0,4.0,2.0,-6.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-5.0,2.0,0.0,-1.0,0.0,3.0,0.0,0.0,2.0,-2.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-31,2.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,1.0,1.0,-2.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,-1.0,1.0,2.0,4.0,-6.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,0.0,3.0,-3.0,1.0,0.0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-01-01,-3.0,0.0,0.0,-1.0,-1.0,2.0,-2.0,0.0,0.0,2.0,0.0,-2.0,1.0,0.0,1.0,1.0,1.0,2.0,-4.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,-5.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,3.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-02,1.0,0.0,0.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,-3.0,-2.0,0.0,5.0,1.0,-2.0,1.0,-1.0,1.0,4.0,-4.0,0.0,0.0,-1.0,3.0,0.0,-1.0,-1.0,6.0,0.0,2.0,-1.0,3.0,0.0,-4.0,0.0,3.0,2.0,-5.0,1.0,0.0,3.0,-1.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.0,-2.0,1.0,1.0,-1.0,1.0,0.0,-2.0,0.0,-2.0,3.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2025-01-03,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,2.0,1.0,5.0,1.0,0.0,2.0,1.0,-3.0,2.0,0.0,-3.0,0.0,-1.0,0.0,1.0,-1.0,2.0,0.0,-6.0,0.0,0.0,1.0,-1.0,1.0,-4.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2025-01-04,0.0,-1.0,0.0,1.0,1.0,-1.0,-3.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
